StatementID,Importance,Feasibility,StatementText
1,4.142857142857143,3.857142857142857,1. Human oversight during implementation in early days
2,3.5714285714285716,3.857142857142857,2. Concerns with confidentiality
3,4.142857142857143,3.857142857142857,3. Concerns with patient acceptability
4,3.5714285714285716,4.571428571428571,4. Efficiency improved for documentation
5,3.142857142857143,3.1666666666666665,5. False confidence
6,3.142857142857143,3.428571428571429,6. AI could provide alternate perspectives
7,3.4285714285714284,3.7142857142857144,7. AI could perpetuate existing biases
8,4,3.857142857142857,8. Minimizing bias and increasing performance and accuracy
9,4,4,9. Ensuring accountability and oversight of AI
10,2.7142857142857144,3.142857142857143,10. Concerns with digital literacy and digital divide barriers
11,3.7142857142857144,4.285714285714286,"11. Better detection (of moles, cancer lumps)"
12,3.142857142857143,3.7142857142857144,12. Diversification of AI training data and sources
13,3.142857142857143,3.2857142857142856,13. Too much bureaucracy slowing progress
14,3.4285714285714284,3.142857142857143,14. Concerns with liability
15,3.5714285714285716,4,15. AI could decrease false positives
16,3.2857142857142856,3.5714285714285716,16. Proactive preventative care
17,3.142857142857143,3.5714285714285716,17. Benefits in equitable access
18,3.857142857142857,4.285714285714286,18. AI could free up time for pt care
19,3.4285714285714284,4,19. Developing a rigorous privacy and quality assurance framework
20,2.857142857142857,3,20. AI could be misused
21,3,4.428571428571429,21. Helps with generation of ideas can act as a sounding board
22,3.4285714285714284,4.428571428571429,22. Benefits with accessibility & communication (translating languages lay terms)
23,4,4.571428571428571,23. AI allows access vast information very quickly to help diagnosis
24,3.5714285714285716,4,24. Benefits in early distress screening
25,2.857142857142857,3.5714285714285716,25. Establishing proper consent
26,2.142857142857143,2.5714285714285716,26. Concerns with job security
27,3.2857142857142856,4.142857142857143,27. Benefits with patient access to accurate information
28,3,3.7142857142857144,28. Concerns about personalizing care
29,2.7142857142857144,2.857142857142857,29. Data governance policies and regulations to enhance data quality and accountability
30,4.142857142857143,4.285714285714286,"30. Savings in time, can integrate different information and improve in treatment especially when there is less number of human specialist"
31,3.2857142857142856,3.142857142857143,31. AI could remove human bias
32,2.857142857142857,2.7142857142857144,32. Regulation framework and a good understanding of the medico-legal implications
33,3,3.142857142857143,"33. AI could lead to excessive human delegation, assuming that that AI will take care of it!"
34,2.857142857142857,4.142857142857143,34. Knowledge repositing for learning and research
35,3,3.5714285714285716,35. AI could be of concern regarding its ongoing validation
36,3,3.142857142857143,36. AI could be of concern to patient privacy
37,3.142857142857143,4.666666666666667,37. Consultation recording and transcription
38,3.7142857142857144,3.7142857142857144,38. Ensuring cybersecurity of AI tools
39,4,4.142857142857143,39. Educating end-users about properly navigating AI
40,3.428571428571429,3.5714285714285716,40. Concerns with protection of personal health identifiers
41,3.2857142857142856,4.142857142857143,41. Facilitation of clinical research
42,3.7142857142857144,4.142857142857143,42. Improve access to services
43,3.2857142857142856,4,43. Ensuring accessibility and translation
44,3.5714285714285716,4.142857142857143,44. AI could help improve accuracy
45,2.5714285714285716,3.5714285714285716,45. Embed research / quality improvement into all areas
46,3.2857142857142856,2.5714285714285716,"data that the AI model is trained on must be good, clean, large and diverse"
47,2.857142857142857,3.142857142857143,47. Concerns with attrition of skills in healthcare providers
48,3.2857142857142856,3.4285714285714284,48. Preservation of human touch
49,3.7142857142857144,3.2857142857142856,49. Loss of human connection/interactions
50,4,4.857142857142857,increases digestability/highlighting key points
51,3.142857142857143,4.428571428571429,51. Collate large databases
52,2.857142857142857,3.142857142857143,52. AI could engender issues with trust
53,3.5714285714285716,3.857142857142857,53. Pooling large volume of data can improve accuracy of AI system and allow for more timely diagnosis and treatment recommendation
54,3.4285714285714284,3.2857142857142856,54. Concerns with responsibility accountability of AI recommendations
55,3.142857142857143,3.4285714285714284,55. AI hallucinations
56,3,3.7142857142857144,56. Multidisciplinary collaboration and training in developing AI models
57,3.2857142857142856,4.714285714285714,"57. 24/7 availability, AI doesn’t get tired or brain fog"
58,3.5714285714285716,4.428571428571429,58. Noticing patterns and new things humans haven’t noticed
59,4,4.428571428571429,59. Prediction/prognosis/treatment recommendations
60,3,3.2857142857142856,"60. Concerns with standards for quality, accuracy, etc."
61,2,3.142857142857143,61. Concerns with power outages and down time procedures
62,2.857142857142857,4,62. Increased opportunities for innovation
63,3.4285714285714284,2.857142857142857,63. Distress is nuanced and often detected in the unsaid of human communication and in a trusting therapeutic relationship
64,3.7142857142857144,3.7142857142857144,64. Personalization of AI support tools for patients
65,2.7142857142857144,3.857142857142857,65. Concerns with difficulty to know older data for training and missing new breakthrough information
66,3.4285714285714284,3.4285714285714284,66. Concerns with consent of patient
67,3,2.7142857142857144,67. Racism bias through research (history of medical research)
68,3.142857142857143,4.571428571428571,68. Phased roll-out
69,4,4.571428571428571,69. Reduce admin burden
70,3.7142857142857144,4.285714285714286,70. Potential in navigation and directing to self-management resources
71,2.857142857142857,3.2857142857142856,71. Over reliance by physicians and reduced problem solving skills
72,3.4285714285714284,4.285714285714286,72. Ability to make text/conversation more digestable for patients (less technical)
73,3.5714285714285716,3.857142857142857,73. Ensuring clinical validation of AI tools
74,2.857142857142857,3.7142857142857144,"74. Concerns with maintaining up to date information, sources and programming"
75,3.428571428571429,3,75. Data privacy concerns
76,3.5714285714285716,4.285714285714286,76. Triage diagnostic results for clinicians
77,2.4285714285714284,2.7142857142857144,77. Concerns with going too far and can’t come back
78,3.142857142857143,2.857142857142857,78. Control of data by corporations
79,3.7142857142857144,3.7142857142857144,79. AI could help address the human health resources issue
80,3.5714285714285716,4.142857142857143,80. Faster assessments to inform decision-making
81,3.5714285714285716,3.2857142857142856,81. Concerns with transparency
82,3.2857142857142856,3.2857142857142856,82. AI could make mistakes
83,2.7142857142857144,2.7142857142857144,"83. Concerns with stability of the system (during virus attack, power outage, system interruption)"
84,3.857142857142857,4.571428571428571,84. Live translation and/or transcription of conversations
85,3.7142857142857144,3.5714285714285716,85. Establishing guidelines for “best practices” for training AI + clinical validation
86,3.142857142857143,3.857142857142857,86. Lack of training/knowledge for those using the AI tool in the real world
87,1.7142857142857142,3.7142857142857144,87. Can existing healthcare servers support the use of AI?
88,3.142857142857143,4,88. Ensuring interpretability of AI tools
89,4.428571428571429,4.428571428571429,89. Allow clinicians to focus on tasks requiring their expertise
90,3.2857142857142856,4.142857142857143,"90. Identifying and focusing on high-priority areas, such as prevention"
91,3.4285714285714284,2.7142857142857144,91. Concerns that data is held by private companies
92,3.142857142857143,3.4285714285714284,92. Maintaining competency with changing best practices and approuved standards
93,3.142857142857143,3.2857142857142856,93. Minority groups being marginalized
94,4,3.4285714285714284,94. Patient/parent/caregiver/provider acceptability
95,2.857142857142857,3.5714285714285716,95. Data ownership and standards and guidelines on AI developed are not established
96,3.142857142857143,3,96. Possibility of data breaches / data leaks
97,2.857142857142857,4.142857142857143,"97. Potential for widening differential diagnosis, widening perspective of patient"
98,4,4.285714285714286,98. Lists possible outcome and risks for the patient
99,3.142857142857143,3,99. Cybersecurity concerns
100,4.142857142857143,4.714285714285714,100. Automation of routine tasks
