StatementID,Importance_Mean,Feasibility_Mean,Gap,Cluster
1,4.25,3.4166666666666665,0.8333333333333335,0
2,3.75,3.25,0.5,0
3,4.083333333333333,3.1666666666666665,0.9166666666666665,0
4,3.5833333333333335,4.166666666666667,-0.5833333333333335,1
5,3.3333333333333335,2.727272727272727,0.6060606060606064,0
6,3.1666666666666665,3.1666666666666665,0.0,1
7,3.3333333333333335,3.25,0.08333333333333348,0
8,4.0,3.3333333333333335,0.6666666666666665,1
9,4.0,3.5833333333333335,0.4166666666666665,0
10,3.0833333333333335,2.75,0.3333333333333335,0
11,3.5833333333333335,3.75,-0.16666666666666652,1
12,3.3333333333333335,3.3333333333333335,0.0,0
13,3.0,3.0,0.0,0
14,3.3333333333333335,2.8333333333333335,0.5,0
15,3.4166666666666665,3.4166666666666665,0.0,1
16,3.1666666666666665,3.0,0.16666666666666652,0
17,3.3333333333333335,2.9166666666666665,0.41666666666666696,1
18,3.75,3.6666666666666665,0.08333333333333348,1
19,3.5,3.4166666666666665,0.08333333333333348,0
20,3.1666666666666665,2.75,0.4166666666666665,0
21,2.8333333333333335,3.5833333333333335,-0.75,0
22,3.25,3.5833333333333335,-0.3333333333333335,1
23,3.75,4.0,-0.25,1
24,3.3333333333333335,3.25,0.08333333333333348,1
25,3.0,3.0833333333333335,-0.08333333333333348,0
26,2.4166666666666665,2.25,0.16666666666666652,0
27,3.25,3.5454545454545454,-0.2954545454545454,1
28,2.8333333333333335,3.25,-0.4166666666666665,0
29,2.9166666666666665,2.5833333333333335,0.33333333333333304,0
30,3.8333333333333335,3.6666666666666665,0.16666666666666696,1
31,3.1666666666666665,2.75,0.4166666666666665,1
32,2.8333333333333335,2.25,0.5833333333333335,0
33,2.5833333333333335,2.5,0.08333333333333348,0
34,2.9166666666666665,3.5,-0.5833333333333335,1
35,3.0,3.090909090909091,-0.09090909090909083,0
36,3.0833333333333335,3.0833333333333335,0.0,0
37,3.1666666666666665,4.181818181818182,-1.0151515151515151,0
38,3.75,3.1666666666666665,0.5833333333333335,0
39,3.8333333333333335,3.5833333333333335,0.25,0
40,3.4166666666666665,3.0,0.4166666666666665,0
41,3.0833333333333335,3.4166666666666665,-0.33333333333333304,1
42,3.6666666666666665,3.5833333333333335,0.08333333333333304,1
43,3.5,3.6666666666666665,-0.16666666666666652,0
44,3.5833333333333335,3.75,-0.16666666666666652,1
45,2.9166666666666665,3.25,-0.3333333333333335,0
46,3.5833333333333335,2.8333333333333335,0.75,0
47,2.5833333333333335,2.5833333333333335,0.0,0
48,3.0833333333333335,2.8333333333333335,0.25,0
49,3.3333333333333335,2.75,0.5833333333333335,0
50,3.6666666666666665,4.333333333333333,-0.6666666666666665,1
51,3.25,4.166666666666667,-0.916666666666667,1
52,2.75,2.6666666666666665,0.08333333333333348,0
53,3.5833333333333335,3.75,-0.16666666666666652,1
54,3.1666666666666665,3.0,0.16666666666666652,0
55,3.1666666666666665,2.8333333333333335,0.33333333333333304,0
56,3.1666666666666665,3.25,-0.08333333333333348,0
57,3.4166666666666665,4.25,-0.8333333333333335,1
58,3.5833333333333335,3.5,0.08333333333333348,1
59,3.9166666666666665,3.5833333333333335,0.33333333333333304,1
60,3.0833333333333335,2.9166666666666665,0.16666666666666696,0
61,2.1666666666666665,2.5833333333333335,-0.41666666666666696,0
62,2.9166666666666665,3.5833333333333335,-0.666666666666667,1
63,3.4166666666666665,2.5,0.9166666666666665,0
64,3.5833333333333335,3.3333333333333335,0.25,1
65,2.9166666666666665,2.9166666666666665,0.0,0
66,3.25,3.1666666666666665,0.08333333333333348,0
67,3.0833333333333335,2.5,0.5833333333333335,0
68,3.1666666666666665,4.083333333333333,-0.9166666666666665,0
69,3.9166666666666665,4.166666666666667,-0.25000000000000044,1
70,3.4166666666666665,3.6666666666666665,-0.25,1
71,2.6666666666666665,2.75,-0.08333333333333348,0
72,3.5,3.8333333333333335,-0.3333333333333335,1
73,3.5,3.4166666666666665,0.08333333333333348,0
74,2.8333333333333335,3.4166666666666665,-0.583333333333333,0
75,3.3333333333333335,2.8333333333333335,0.5,0
76,3.6666666666666665,3.6666666666666665,0.0,1
77,2.3333333333333335,2.5,-0.16666666666666652,0
78,2.75,2.5,0.25,0
79,3.5833333333333335,3.25,0.3333333333333335,1
80,3.5,3.5833333333333335,-0.08333333333333348,1
81,3.0833333333333335,2.75,0.3333333333333335,0
82,3.3333333333333335,3.0,0.3333333333333335,0
83,2.75,2.4166666666666665,0.3333333333333335,0
84,3.727272727272727,4.083333333333333,-0.35606060606060597,1
85,3.5,3.1666666666666665,0.3333333333333335,0
86,3.1666666666666665,3.25,-0.08333333333333348,0
87,2.1666666666666665,3.0833333333333335,-0.916666666666667,0
88,3.4166666666666665,3.3333333333333335,0.08333333333333304,0
89,4.166666666666667,4.0,0.16666666666666696,1
90,3.0833333333333335,3.4166666666666665,-0.33333333333333304,1
91,2.9166666666666665,2.4166666666666665,0.5,0
92,3.1666666666666665,2.8333333333333335,0.33333333333333304,1
93,3.0,2.9166666666666665,0.08333333333333348,0
94,3.9166666666666665,2.9166666666666665,1.0,0
95,2.8333333333333335,2.9166666666666665,-0.08333333333333304,0
96,3.0,2.8333333333333335,0.16666666666666652,0
97,3.0,3.3333333333333335,-0.3333333333333335,1
98,3.8333333333333335,3.5833333333333335,0.25,1
99,2.75,2.4166666666666665,0.3333333333333335,0
100,4.0,4.083333333333333,-0.08333333333333304,1
